VG1,VG2,trise,ETAB,K1,ALPHA0,BETA0,NFACTOR,mbjt,IS,area
0.2,-0.2,11.63,0.8,0.55825,7.842e-05,10.75,12.15,0.001,5e-09,1e-06
0.2,-0.15,11.63,0.85,0.55825,7.842e-05,11,11.15,0.001,5e-09,1e-06
0.2,-0.1,11.63,0.9,0.55825,7.842e-05,11.25,10.15,0.001,5e-09,1e-06
0.2,-0.05,11.63,0.95,0.55825,7.842e-05,11.5,9.15,0.001,5e-09,1e-06
0.2,0,11.63,1,0.55825,7.842e-05,12.5,8.15,0.001,5e-09,1e-06
0.2,0.05,11.63,1.05,0.55825,7.842e-05,13.5,7.15,0.001,5e-09,1e-06
0.2,0.1,12.73,1.1,0.55825,7.842e-05,14,6.25,0.001,5e-09,1e-06
0.4,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.4,-0.15,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.4,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.4,-0.05,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.4,0,10.59,1.9,0.53825,7.842e-05,19,6,1,5e-09,1e-06
0.4,0.05,10.76,1.85,0.53825,7.842e-05,19,5.5,1,5e-09,1e-06
0.4,0.1,10.94,1.8,0.53825,7.842e-05,19,5,1,5e-09,1e-06
0.4,0.15,11.11,1.75,0.53825,7.842e-05,19,4.25,1,5e-09,1e-06
0.4,0.2,11.46,1.7,0.53825,7.842e-05,19,3.75,1,5e-09,1e-06
0.4,0.25,11.82,1.65,0.53825,7.842e-05,19,3.25,1,5e-09,1e-06
0.4,0.3,12.98,1.6,0.53825,7.842e-05,19,2.75,1,5e-09,1e-06
0.6,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.6,-0.15,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.6,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.6,-0.05,NaN,NaN,NaN,NaN,NaN,NaN,1,5e-09,1e-06
0.6,0,9.04,2.5,0.41825,7.842e-05,20,6,1,5e-09,1e-06
0.6,0.05,9.04,2.5,0.41825,7.842e-05,20,5.5,1,5e-09,1e-06
0.6,0.1,9.04,2.5,0.41825,7.842e-05,20,5.25,1,5e-09,1e-06
0.6,0.15,9.04,2.5,0.41825,7.842e-05,20,4.75,1,5e-09,1e-06
0.6,0.2,9.04,2.5,0.41825,7.842e-05,20,3.75,1,5e-09,1e-06
0.6,0.25,9.04,2.5,0.41825,7.842e-05,20,3.5,1,5e-09,1e-06
0.6,0.3,9.04,2.5,0.41825,7.842e-05,20,3.25,1,5e-09,1e-06
0.6,0.35,9.04,2.5,0.41825,7.842e-05,20,3,1,5e-09,1e-06
0.6,0.4,9.04,2.2,0.41825,7.842e-05,20,2.5,1,5e-09,1e-06
0.6,0.45,9.04,2.1,0.41825,7.842e-05,20,1.75,1,5e-09,1e-06
0.6,0.5,12.98,2.1,0.41825,7.842e-05,20,1.25,1,5e-09,1e-06
